Japanese,English
あ,A
い,I
う,U
お,O
か,ka
き,ki
く,ku
け,ke
こ,ko
さ,sa
し,shi
す,su
た,ta
ち,chi
つ,tsu
て,te
と,to
な,na
ぬ,nu
の,no
は,ha
ひ,hi
ふ,fu
へ,he
ほ,ho
ま,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
を,wo
きゃ,kya
きゅ,kyu
きょ,kyo
しゃ,sha
しゅ,shu
しょ,sho
ちゃ,cha
ちゅ,chu
ちょ,cho
にゃ,nya
にゅ,nyu
にょ,nyo
ひゃ,hya
ひゅ,hyu
ひょ,hyo
みゃ,mya
みゅ,myu
みょ,myo
りゃ,rya
りゅ,ryu
りょ,ryo
ア,A
イ,I
ウ,U
エ,E
オ,O
カ,ka
キ,ki
ク,ku
ケ,ke
コ,ko
サ,sa
シ,shi
ス,su
セ,se
ソ,so
タ,ta
チ,chi
ツ,tsu
テ,te
ト,to
ナ,na
ニ,ni
ヌ,nu
ネ,ne
ノ,no
ハ,ha
ヒ,hi
フ,fu
ヘ,he
ホ,ho
マ,ma
ミ,mi
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ri
ル,ru
レ,re
ロ,ro
ワ,wa
ヲ,wo
キャ,kya
キュ,kyu
キョ,kyo
シャ,sha
シュ,shu
ショ,sho
チャ,cha
チュ,chu
チョ,cho
ニャ,nya
ニュ,nyu
ニョ,nyo
ヒャ,hya
ヒュ,hyu
ヒョ,hyo
ミャ,mya
ミュ,myu
ミョ,myo
リャ,rya
リュ,ryu
リョ,ryo
